estacion,anno,mes,temp_max_c,temp_min_c,precipitacion_mm,humedad_relativa_pct
Malambo,2020,5,34.4,24.5,108.3,76
Malambo,2020,6,33.8,24.1,131.0,80
Malambo,2020,7,33.3,23.7,71.1,75
Malambo,2020,8,33.6,23.9,87.4,78
Malambo,2020,9,32.9,23.6,167.5,84
Malambo,2020,10,32.3,23.2,181.8,86
Malambo,2020,11,32.5,23.0,118.3,83
Malambo,2020,12,33.2,22.6,25.4,73
Malambo,2021,1,33.7,23.3,9.6,69
Malambo,2021,2,34.8,23.7,4.5,65
Malambo,2021,3,36.2,24.4,5.1,62
Malambo,2021,4,36.6,25.2,16.3,65
Malambo,2021,5,35.1,24.8,97.2,74
Malambo,2021,6,34.4,24.4,115.0,78
Malambo,2021,7,33.9,24.0,75.0,76
Malambo,2021,8,34.2,24.2,82.0,77
Malambo,2021,9,33.4,23.9,157.9,82
Malambo,2021,10,32.7,23.5,172.3,84
Malambo,2021,11,33.0,23.2,107.2,81
Malambo,2021,12,33.7,22.8,20.0,71
Sabanagrande,2018,1,32.8,22.9,11.5,71
Sabanagrande,2018,2,33.7,23.3,6.7,68
Sabanagrande,2018,3,35.0,24.1,5.5,65
Sabanagrande,2018,4,35.4,24.7,18.9,67
Sabanagrande,2018,5,33.9,24.4,98.1,75
Sabanagrande,2018,6,33.3,23.9,120.8,79
Sabanagrande,2018,7,32.8,23.6,75.5,77
Sabanagrande,2018,8,33.1,23.7,82.2,78
Sabanagrande,2018,9,32.4,23.5,158.0,83
Sabanagrande,2018,10,31.7,23.1,171.4,85
Sabanagrande,2018,11,32.0,22.8,106.8,82
Sabanagrande,2018,12,32.7,22.4,23.2,73
Sabanagrande,2019,1,32.6,22.6,10.2,70
Sabanagrande,2019,2,33.9,23.1,5.1,66
Sabanagrande,2019,3,35.3,23.8,7.0,63
Sabanagrande,2019,4,35.7,24.6,15.5,66
Sabanagrande,2019,5,34.2,24.2,103.7,76
Sabanagrande,2019,6,33.5,23.8,127.1,80
Sabanagrande,2019,7,33.0,23.4,80.0,77
Sabanagrande,2019,8,33.3,23.6,87.5,79
Sabanagrande,2019,9,32.6,23.3,163.7,84
Sabanagrande,2019,10,31.9,22.9,178.9,86
Sabanagrande,2019,11,32.2,22.6,113.2,83
Sabanagrande,2019,12,32.9,22.2,19.5,72
Sabanagrande,2020,1,32.4,22.4,13.0,71
Sabanagrande,2020,2,33.5,22.9,5.7,67
Sabanagrande,2020,3,34.8,23.6,6.3,64
Sabanagrande,2020,4,35.5,24.4,21.0,68
Sabanagrande,2020,5,34.0,24.0,111.0,77
Sabanagrande,2020,6,33.4,23.6,133.7,81
Sabanagrande,2020,7,32.9,23.2,73.8,76
Sabanagrande,2020,8,33.2,23.4,90.1,79
Sabanagrande,2020,9,32.5,23.1,170.2,85
Sabanagrande,2020,10,31.8,22.7,184.5,87
Sabanagrande,2020,11,32.1,22.5,121.0,84
Sabanagrande,2020,12,32.8,22.1,27.1,74
Sabanagrande,2021,1,33.0,22.8,11.0,70
Sabanagrande,2021,2,34.1,23.2,5.3,66
Sabanagrande,2021,3,35.5,24.0,5.7,63
Sabanagrande,2021,4,35.9,24.7,17.6,66
Sabanagrande,2021,5,34.4,24.3,99.9,75
Sabanagrande,2021,6,33.7,23.9,117.7,79
Sabanagrande,2021,7,33.2,23.5,77.7,77
Sabanagrande,2021,8,33.5,23.7,84.7,78
Sabanagrande,2021,9,32.7,23.4,160.6,83
Sabanagrande,2021,10,32.0,23.0,175.0,85
Sabanagrande,2021,11,32.3,22.7,109.9,82
Sabanagrande,2021,12,33.0,22.3,21.7,72
Santo Tomas,2018,1,33.0,23.1,10.8,70
Santo Tomas,2018,2,33.9,23.5,6.2,67
Santo Tomas,2018,3,35.2,24.3,5.1,64
Santo Tomas,2018,4,35.6,24.9,17.3,66
Santo Tomas,2018,5,34.1,24.6,96.8,74
Santo Tomas,2018,6,33.5,24.1,119.4,78
Santo Tomas,2018,7,33.0,23.8,74.2,76
Santo Tomas,2018,8,33.3,23.9,80.9,77
Santo Tomas,2018,9,32.6,23.7,156.7,82
Santo Tomas,2018,10,31.9,23.3,170.1,84
Santo Tomas,2018,11,32.2,23.0,105.5,81
Santo Tomas,2018,12,32.9,22.6,21.9,72
Santo Tomas,2019,1,32.8,22.8,9.5,69
Santo Tomas,2019,2,34.1,23.3,4.7,65
Santo Tomas,2019,3,35.5,24.0,6.6,62
Santo Tomas,2019,4,35.9,24.8,14.8,65
Santo Tomas,2019,5,34.4,24.4,102.4,75
Santo Tomas,2019,6,33.7,24.0,125.7,79
Santo Tomas,2019,7,33.2,23.6,78.7,76
Santo Tomas,2019,8,33.5,23.8,86.2,78
Santo Tomas,2019,9,32.8,23.5,162.4,83
Santo Tomas,2019,10,32.1,23.1,177.6,85
Santo Tomas,2019,11,32.4,22.8,111.9,82
Santo Tomas,2019,12,33.1,22.4,18.2,71
Santo Tomas,2020,1,32.6,22.6,12.3,70
Santo Tomas,2020,2,33.7,23.1,5.3,66
Santo Tomas,2020,3,35.0,23.8,5.9,63
Santo Tomas,2020,4,35.7,24.6,19.4,67
Santo Tomas,2020,5,34.2,24.2,109.7,76
Santo Tomas,2020,6,33.6,23.8,132.3,80
Santo Tomas,2020,7,33.1,23.4,72.5,75
Santo Tomas,2020,8,33.4,23.6,88.8,78
Santo Tomas,2020,9,32.7,23.3,168.9,84
Santo Tomas,2020,10,32.0,22.9,183.2,86
Santo Tomas,2020,11,32.3,22.7,119.7,83
Santo Tomas,2020,12,33.0,22.3,25.8,73
Santo Tomas,2021,1,33.2,23.0,10.3,69
Santo Tomas,2021,2,34.3,23.4,4.9,65
Santo Tomas,2021,3,35.7,24.2,5.3,62
Santo Tomas,2021,4,36.1,24.9,16.0,65
Santo Tomas,2021,5,34.6,24.5,98.6,74
Santo Tomas,2021,6,33.9,24.1,116.4,78
Santo Tomas,2021,7,33.4,23.7,76.4,76
Santo Tomas,2021,8,33.7,23.9,83.4,77
Santo Tomas,2021,9,32.9,23.6,159.3,82
Santo Tomas,2021,10,32.2,23.2,173.7,84
Santo Tomas,2021,11,32.5,22.9,108.6,81
Santo Tomas,2021,12,33.2,22.5,20.4,71
Palmar de Varela,2018,1,33.3,23.3,10.3,70
Palmar de Varela,2018,2,34.2,23.7,5.9,67
Palmar de Varela,2018,3,35.5,24.5,4.7,64
Palmar de Varela,2018,4,35.9,25.1,17.0,66
Palmar de Varela,2018,5,34.4,24.8,95.5,74
Palmar de Varela,2018,6,33.8,24.3,118.0,78
Palmar de Varela,2018,7,33.3,24.0,73.5,76
Palmar de Varela,2018,8,33.6,24.1,80.2,77
Palmar de Varela,2018,9,32.9,23.9,155.7,82
Palmar de Varela,2018,10,32.2,23.5,169.1,84
Palmar de Varela,2018,11,32.5,23.2,104.5,81
Palmar de Varela,2018,12,33.2,22.8,21.4,72
Palmar de Varela,2019,1,33.1,23.0,9.0,69
Palmar de Varela,2019,2,34.4,23.5,4.5,65
Palmar de Varela,2019,3,35.8,24.2,6.2,62
Palmar de Varela,2019,4,36.2,25.0,14.5,65
Palmar de Varela,2019,5,34.7,24.6,101.2,75
Palmar de Varela,2019,6,34.0,24.2,124.6,79
Palmar de Varela,2019,7,33.5,23.8,77.7,76
Palmar de Varela,2019,8,33.8,24.0,85.2,78
Palmar de Varela,2019,9,33.1,23.7,161.4,83
Palmar de Varela,2019,10,32.4,23.3,176.6,85
Palmar de Varela,2019,11,32.7,23.0,110.9,82
Palmar de Varela,2019,12,33.4,22.6,17.6,71
Palmar de Varela,2020,1,32.9,22.8,11.9,70
Palmar de Varela,2020,2,34.0,23.3,5.1,66
Palmar de Varela,2020,3,35.3,24.0,5.5,63
Palmar de Varela,2020,4,36.0,24.8,18.7,67
Palmar de Varela,2020,5,34.5,24.4,108.4,76
Palmar de Varela,2020,6,33.9,24.0,131.1,80
Palmar de Varela,2020,7,33.4,23.6,71.5,75
Palmar de Varela,2020,8,33.7,23.8,87.5,78
Palmar de Varela,2020,9,33.0,23.5,167.9,84
Palmar de Varela,2020,10,32.3,23.1,182.2,86
Palmar de Varela,2020,11,32.6,22.9,118.2,83
Palmar de Varela,2020,12,33.3,22.5,24.9,73
Palmar de Varela,2021,1,33.5,23.2,9.8,69
Palmar de Varela,2021,2,34.6,23.6,4.3,65
Palmar de Varela,2021,3,36.0,24.4,4.9,62
Palmar de Varela,2021,4,36.4,25.1,15.7,65
Palmar de Varela,2021,5,34.9,24.7,97.3,74
Palmar de Varela,2021,6,34.2,24.3,115.1,78
Palmar de Varela,2021,7,33.7,23.9,75.4,76
Palmar de Varela,2021,8,34.0,24.1,82.5,77
Palmar de Varela,2021,9,33.2,23.8,158.3,82
Palmar de Varela,2021,10,32.5,23.4,172.7,84
Palmar de Varela,2021,11,32.8,23.1,107.6,81
Palmar de Varela,2021,12,33.5,22.7,19.8,71
Ponedera,2018,1,32.6,22.7,12.1,72
Ponedera,2018,2,33.5,23.1,7.4,69
Ponedera,2018,3,34.8,23.9,6.0,66
Ponedera,2018,4,35.2,24.5,19.5,68
Ponedera,2018,5,33.7,24.2,99.3,76
Ponedera,2018,6,33.1,23.7,121.8,80
Ponedera,2018,7,32.6,23.4,76.7,78
Ponedera,2018,8,32.9,23.5,83.4,79
Ponedera,2018,9,32.2,23.3,159.4,84
Ponedera,2018,10,31.5,22.9,172.8,86
Ponedera,2018,11,31.8,22.6,108.0,83
Ponedera,2018,12,32.5,22.2,24.6,74
Ponedera,2019,1,32.4,22.4,10.8,71
Ponedera,2019,2,33.7,22.9,5.9,67
Ponedera,2019,3,35.1,23.6,7.8,64
Ponedera,2019,4,35.5,24.4,16.2,67
Ponedera,2019,5,34.0,23.8,105.2,77
Ponedera,2019,6,33.3,23.6,128.3,81
Ponedera,2019,7,32.8,23.0,82.1,78
Ponedera,2019,8,33.1,23.4,89.6,80
Ponedera,2019,9,32.4,22.9,165.5,85
Ponedera,2019,10,31.7,22.7,180.7,87
Ponedera,2019,11,32.0,22.4,115.3,84
Ponedera,2019,12,32.7,22.0,20.9,73
Ponedera,2020,1,32.2,22.2,14.2,72
Ponedera,2020,2,33.3,22.7,6.5,68
Ponedera,2020,3,34.6,23.4,7.0,65
Ponedera,2020,4,35.3,24.2,22.2,69
Ponedera,2020,5,33.8,23.8,112.8,78
Ponedera,2020,6,33.2,23.4,135.4,82
Ponedera,2020,7,32.7,23.0,75.2,77
Ponedera,2020,8,33.0,23.2,92.1,80
Ponedera,2020,9,32.3,22.9,172.0,86
Ponedera,2020,10,31.6,22.5,186.3,88
Ponedera,2020,11,31.9,22.3,123.5,85
Ponedera,2020,12,32.6,21.9,29.4,75
Ponedera,2021,1,32.8,22.6,12.0,71
Ponedera,2021,2,33.9,23.0,6.1,67
Ponedera,2021,3,35.3,23.8,6.4,64
Ponedera,2021,4,35.7,24.5,18.0,67
Ponedera,2021,5,34.2,24.1,101.1,76
Ponedera,2021,6,33.5,23.7,118.8,80
Ponedera,2021,7,33.0,23.3,79.1,78
Ponedera,2021,8,33.3,23.5,86.4,79
Ponedera,2021,9,32.5,23.0,162.2,84
Ponedera,2021,10,31.8,22.8,176.6,86
Ponedera,2021,11,32.1,22.5,111.1,83
Ponedera,2021,12,32.8,22.1,22.8,73
Campo de la Cruz,2018,1,32.3,22.4,13.0,73
Campo de la Cruz,2018,2,33.2,22.8,8.1,70
Campo de la Cruz,2018,3,34.5,23.6,6.6,67
Campo de la Cruz,2018,4,34.9,24.2,20.8,69
Campo de la Cruz,2018,5,33.4,23.9,101.9,77
Campo de la Cruz,2018,6,32.8,23.4,124.5,81
Campo de la Cruz,2018,7,32.3,23.1,78.4,79
Campo de la Cruz,2018,8,32.6,23.2,85.1,80
Campo de la Cruz,2018,9,31.9,23.0,162.1,85
Campo de la Cruz,2018,10,31.2,22.6,175.5,87
Campo de la Cruz,2018,11,31.5,22.3,110.7,84
Campo de la Cruz,2018,12,32.2,21.9,26.3,75
Campo de la Cruz,2019,1,32.1,22.1,11.7,72
Campo de la Cruz,2019,2,33.4,22.6,6.6,68
Campo de la Cruz,2019,3,34.8,23.3,8.4,65
Campo de la Cruz,2019,4,35.2,24.1,17.9,68
Campo de la Cruz,2019,5,33.7,23.5,107.9,78
Campo de la Cruz,2019,6,33.0,23.3,131.0,82
Campo de la Cruz,2019,7,32.5,22.7,83.8,79
Campo de la Cruz,2019,8,32.8,23.1,91.3,81
Campo de la Cruz,2019,9,32.1,22.6,168.2,86
Campo de la Cruz,2019,10,31.4,22.4,183.4,88
Campo de la Cruz,2019,11,31.7,22.1,118.0,85
Campo de la Cruz,2019,12,32.4,21.7,22.6,74
Campo de la Cruz,2020,1,31.9,21.9,15.6,73
Campo de la Cruz,2020,2,33.0,22.4,7.2,69
Campo de la Cruz,2020,3,34.3,23.1,7.6,66
Campo de la Cruz,2020,4,35.0,23.9,24.0,70
Campo de la Cruz,2020,5,33.5,23.5,115.5,79
Campo de la Cruz,2020,6,32.9,23.1,138.1,83
Campo de la Cruz,2020,7,32.4,22.7,77.0,78
Campo de la Cruz,2020,8,32.7,22.9,93.8,81
Campo de la Cruz,2020,9,32.0,22.6,174.7,87
Campo de la Cruz,2020,10,31.3,22.2,189.0,89
Campo de la Cruz,2020,11,31.6,22.0,126.2,86
Campo de la Cruz,2020,12,32.3,21.6,31.1,76
Campo de la Cruz,2021,1,32.5,22.3,13.1,72
Campo de la Cruz,2021,2,33.6,22.7,6.8,68
Campo de la Cruz,2021,3,35.0,23.5,7.0,65
Campo de la Cruz,2021,4,35.4,24.2,19.7,68
Campo de la Cruz,2021,5,33.9,23.8,103.8,77
Campo de la Cruz,2021,6,33.2,23.4,121.5,81
Campo de la Cruz,2021,7,32.7,23.0,80.8,79
Campo de la Cruz,2021,8,33.0,23.2,88.1,80
Campo de la Cruz,2021,9,32.2,22.7,165.0,85
Campo de la Cruz,2021,10,31.5,22.5,179.4,87
Campo de la Cruz,2021,11,31.8,22.2,113.4,84
Campo de la Cruz,2021,12,32.5,21.8,24.5,74
Suan,2018,1,32.1,22.2,13.7,73
Suan,2018,2,33.0,22.6,8.8,70
Suan,2018,3,34.3,23.4,7.2,67
Suan,2018,4,34.7,24.0,21.5,69
Suan,2018,5,33.2,23.7,103.6,77
Suan,2018,6,32.6,23.2,126.2,81
Suan,2018,7,32.1,22.9,79.1,79
Suan,2018,8,32.4,23.0,85.8,80
Suan,2018,9,31.7,22.8,163.8,85
Suan,2018,10,31.0,22.4,177.2,87
Suan,2018,11,31.3,22.1,112.4,84
Suan,2018,12,32.0,21.7,27.0,75
Suan,2019,1,31.9,21.9,12.4,72
Suan,2019,2,33.2,22.4,7.3,68
Suan,2019,3,34.6,23.1,9.0,65
Suan,2019,4,35.0,23.9,18.6,68
Suan,2019,5,33.5,23.3,109.6,78
Suan,2019,6,32.8,23.1,132.7,82
Suan,2019,7,32.3,22.5,84.5,79
Suan,2019,8,32.6,22.9,92.0,81
Suan,2019,9,31.9,22.4,169.9,86
Suan,2019,10,31.2,22.2,185.1,88
Suan,2019,11,31.5,21.9,119.7,85
Suan,2019,12,32.2,21.5,23.3,74
Suan,2020,1,31.7,21.7,16.3,73
Suan,2020,2,32.8,22.2,7.9,69
Suan,2020,3,34.1,22.9,8.2,66
Suan,2020,4,34.8,23.7,25.7,70
Suan,2020,5,33.3,23.3,117.2,79
Suan,2020,6,32.7,22.9,139.8,83
Suan,2020,7,32.2,22.5,77.7,78
Suan,2020,8,32.5,22.7,94.5,81
Suan,2020,9,31.8,22.4,176.4,87
Suan,2020,10,31.1,22.0,190.7,89
Suan,2020,11,31.4,21.8,127.9,86
Suan,2020,12,32.1,21.4,31.8,76
Suan,2021,1,32.3,22.1,14.0,72
Suan,2021,2,33.4,22.5,7.5,68
Suan,2021,3,34.8,23.3,7.6,65
Suan,2021,4,35.2,24.0,20.4,68
Suan,2021,5,33.7,23.6,105.5,77
Suan,2021,6,33.0,23.2,123.2,81
Suan,2021,7,32.5,22.8,81.5,79
Suan,2021,8,32.8,23.0,88.8,80
Suan,2021,9,32.0,22.5,166.7,85
Suan,2021,10,31.3,22.3,181.1,87
Suan,2021,11,31.6,22.0,115.1,84
Suan,2021,12,32.3,21.6,25.2,74
Santa Lucia,2018,1,32.0,22.0,14.2,74
Santa Lucia,2018,2,32.9,22.4,9.4,71
Santa Lucia,2018,3,34.2,23.2,7.8,68
Santa Lucia,2018,4,34.6,23.8,22.2,70
Santa Lucia,2018,5,33.1,23.5,105.3,78
Santa Lucia,2018,6,32.5,23.0,127.9,82
Santa Lucia,2018,7,32.0,22.7,79.8,80
Santa Lucia,2018,8,32.3,22.8,86.5,81
Santa Lucia,2018,9,31.6,22.6,165.5,86
Santa Lucia,2018,10,30.9,22.2,178.9,88
Santa Lucia,2018,11,31.2,21.9,113.1,85
Santa Lucia,2018,12,31.9,21.5,27.7,76
Santa Lucia,2019,1,31.8,21.7,13.1,73
Santa Lucia,2019,2,33.1,22.2,8.0,69
Santa Lucia,2019,3,34.5,22.9,9.6,66
Santa Lucia,2019,4,34.9,23.7,19.3,69
Santa Lucia,2019,5,33.4,23.1,111.3,79
Santa Lucia,2019,6,32.7,22.9,134.4,83
Santa Lucia,2019,7,32.2,22.3,85.2,80
Santa Lucia,2019,8,32.5,22.7,92.7,82
Santa Lucia,2019,9,31.8,22.2,171.6,87
Santa Lucia,2019,10,31.1,22.0,186.8,89
Santa Lucia,2019,11,31.4,21.7,121.4,86
Santa Lucia,2019,12,32.1,21.3,24.0,75
Santa Lucia,2020,1,31.6,21.5,16.9,74
Santa Lucia,2020,2,32.7,22.0,8.5,70
Santa Lucia,2020,3,34.0,22.7,8.8,67
Santa Lucia,2020,4,34.7,23.5,26.4,71
Santa Lucia,2020,5,33.2,23.1,118.9,80
Santa Lucia,2020,6,32.6,22.7,141.5,84
Santa Lucia,2020,7,32.1,22.3,78.4,79
Santa Lucia,2020,8,32.4,22.5,95.2,82
Santa Lucia,2020,9,31.7,22.2,178.1,88
Santa Lucia,2020,10,31.0,21.8,192.4,90
Santa Lucia,2020,11,31.3,21.6,129.6,87
Santa Lucia,2020,12,32.0,21.2,32.5,77
Santa Lucia,2021,1,32.2,21.9,14.7,73
Santa Lucia,2021,2,33.3,22.3,8.2,69
Santa Lucia,2021,3,34.7,23.1,8.2,66
Santa Lucia,2021,4,35.1,23.8,21.1,69
Santa Lucia,2021,5,33.6,23.4,107.2,78
Santa Lucia,2021,6,32.9,23.0,124.9,82
Santa Lucia,2021,7,32.4,22.6,82.2,80
Santa Lucia,2021,8,32.7,22.8,89.5,81
Santa Lucia,2021,9,31.9,22.3,168.4,86
Santa Lucia,2021,10,31.2,22.1,182.8,88
Santa Lucia,2021,11,31.5,21.8,116.8,85
Santa Lucia,2021,12,32.2,21.4,25.9,75
